track_name,artist_name,release_date,popularity,danceability,acousticness,tempo,genre,popularity_rate
Lay It Down Gmix - Main,Lloyd,2011-01-01,28,0.597,0.0461,155.93200000000002,TIKTOK DANCE,low
Bartender (feat. Akon),T-Pain,2007-06-05,75,0.8320000000000001,0.0564,104.961,TIKTOK DANCE,high
Bartender (feat. Akon),T-Pain,2007-06-05,75,0.8320000000000001,0.0564,104.961,TIKTOK DANCE,high
Chosen (feat. Ty Dolla $ign),Blxst,2020-12-04,76,0.5710000000000001,0.336,93.421,TIKTOK DANCE,high
Tie Me Down (with Elley Duhé),Gryffin,2018-08-03,72,0.5479999999999999,0.135,98.932,TIKTOK DANCE,high
Build a Bitch,Bella Poarch,2021-05-14,89,0.855,0.217,102.931,TIKTOK DANCE,high
Build a Bitch,Bella Poarch,2021-05-14,89,0.855,0.217,102.931,TIKTOK DANCE,high
Ever After,Bonnie Bailey,2018-05-11,50,0.774,0.259,113.994,TIKTOK DANCE,medium
Calling My Phone,Lil Tjay,2021-04-02,89,0.907,0.451,104.949,TIKTOK DANCE,high
Clap For 'Em (feat. Flo Milli & Sada Baby),YungManny,2021-03-20,70,0.903,0.0245,129.835,TIKTOK DANCE,high
Clap For 'Em (feat. Flo Milli & Sada Baby),YungManny,2021-03-20,70,0.903,0.0245,129.835,TIKTOK DANCE,high
Butter,BTS,2021-05-21,98,0.759,0.00323,109.997,TIKTOK DANCE,high
Butter,BTS,2021-05-21,98,0.759,0.00323,109.997,TIKTOK DANCE,high
Booty Wurk (One Cheek At a Time) (feat. Joey Galaxy),T-Pain,2011-07-08,40,0.782,0.0078599999999999,158.162,TIKTOK DANCE,medium
Love Me,Justin Bieber,2009-01-01,43,0.7290000000000001,0.00939,124.957,TIKTOK DANCE,medium
Who's That Girl (feat. Eve),Guy Sebastian,2010-11-08,51,0.759,0.155,127.017,TIKTOK DANCE,medium
"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne,2021-04-22,91,0.883,0.21,141.02,TIKTOK DANCE,high
"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne,2021-04-22,91,0.883,0.21,141.02,TIKTOK DANCE,high
